IP,DATE,URL
192.168.0.101,27/May/2020:13:13:32 +0530,GET /samarth.html HTTP/1.1
192.168.0.101,27/May/2020:13:13:32 +0530,GET /favicon.ico HTTP/1.1
192.168.0.101,27/May/2020:13:13:34 +0530,GET /samarth.html HTTP/1.1
192.168.0.101,27/May/2020:13:13:38 +0530,GET /samarth.html HTTP/1.1
192.168.0.101,27/May/2020:13:13:39 +0530,GET /samarth.html HTTP/1.1
192.168.0.101,27/May/2020:13:14:23 +0530, 
192.168.0.101,27/May/2020:13:48:33 +0530,GET /favicon.ico HTTP/1.1
192.168.0.101,27/May/2020:13:48:34 +0530,GET /samarth.html HTTP/1.1
192.168.0.101,27/May/2020:13:48:35 +0530,GET /samarth.html HTTP/1.1
192.168.0.101,27/May/2020:14:09:58 +0530,GET /favicon.ico HTTP/1.1
192.168.0.101,27/May/2020:14:10:27 +0530,GET /samarth.ht HTTP/1.1
192.168.0.101,27/May/2020:14:10:28 +0530,GET /samarth.ht HTTP/1.1
192.168.0.101,27/May/2020:14:15:23 +0530,GET /favicon.ico HTTP/1.1
192.168.0.101,27/May/2020:14:15:25 +0530,GET /samarth.ht HTTP/1.1
192.168.0.101,27/May/2020:14:15:35 +0530,GET /samarth.html HTTP/1.1
192.168.0.101,27/May/2020:14:16:26 +0530, 
192.168.0.101,28/May/2020:02:03:22 +0530,GET /favicon.ico HTTP/1.1
192.168.0.101,28/May/2020:02:03:23 +0530,GET /samarth.html HTTP/1.1
192.168.0.106,27/Jun/2020:00:00:46 +0530,GET / HTTP/1.1
192.168.0.106,27/Jun/2020:00:00:37 +0530,GET / HTTP/1.1
192.168.0.106,27/Jun/2020:00:00:57 +0530,GET /icons/apache_pb2.gif HTTP/1.1
192.168.0.106,27/Jun/2020:00:00:58 +0530,GET /favicon.ico HTTP/1.1
192.168.0.106,28/Jun/2020:15:30:23 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:30:23 +0530,GET /Sunset.jpeg HTTP/1.1
192.168.0.106,28/Jun/2020:15:30:26 +0530,GET /favicon.ico HTTP/1.1
192.168.0.106,28/Jun/2020:15:31:15 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:31:22 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:31:22 +0530,GET /Sunset.jpeg HTTP/1.1
192.168.0.106,28/Jun/2020:15:32:06 +0530, 
192.168.0.106,28/Jun/2020:15:42:05 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:42:06 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:42:57 +0530, 
192.168.0.106,28/Jun/2020:15:50:48 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:50:49 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:50:49 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:50:49 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:50:49 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:50:50 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:50:50 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:50:50 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:50:50 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:50:50 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:50:50 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:50:51 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:50:51 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:50:51 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:53:46 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:54:08 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:54:13 +0530,GET /Sunset.jpeg HTTP/1.1
192.168.0.106,28/Jun/2020:15:54:30 +0530, 
192.168.0.106,28/Jun/2020:15:56:07 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:56:09 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:56:15 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:56:33 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:56:34 +0530,GET /Sunset.jpeg HTTP/1.1
192.168.0.106,28/Jun/2020:15:56:51 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:01 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:27 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:29 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:29 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:30 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:30 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:30 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:30 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:31 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:31 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:31 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:31 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:31 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:32 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:32 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:32 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:32 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:33 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:36 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:57:36 +0530,GET /Sunset.jpeg HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:05 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:07 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:08 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:09 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:10 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:11 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:12 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:12 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:17 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:17 +0530,GET /Sunset.jpeg HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:28 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:28 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:29 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:29 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:29 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:29 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:29 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:30 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:30 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:30 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:30 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:30 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:30 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:31 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:31 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:31 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:31 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:58:31 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:15:59:20 +0530, GET / HTTP/1.1
192.168.0.106,28/Jun/2020:16:06:15 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:16:06:17 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:16:06:17 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:16:06:17 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:16:06:17 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:16:06:17 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:16:06:18 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:16:06:18 +0530,GET / HTTP/1.1
192.168.0.106,28/Jun/2020:16:07:07 +0530, 
